DELEGACIA_CRO,MUNICIPIOS,TOTAL_DENTISTAS,TOTAL_VOTOS_PL,SCORE_MEDIO,TIER_A,TIER_B,POTENCIAL
BH — Sede,74,12702,3817862,5.62,30,14,9.62
Juiz de Fora,191,12784,1944539,4.32,24,58,9.62
Alfenas,81,8333,977714,5.77,20,34,8.46
Divinópolis,61,6271,796977,5.23,18,18,7.31
Montes Claros,85,5349,956666,4.62,18,18,6.92
Três Corações,79,5697,792757,4.73,13,27,6.54
Teófilo Otoni,86,4922,665657,4.79,12,31,5.0
Uberlândia,24,3146,699161,5.24,7,5,4.23
Ipatinga,43,4226,591252,5.3,9,16,4.23
Patos de Minas,34,3744,480523,5.46,9,11,3.46
Governador Valadares,58,2755,431170,3.97,5,14,1.92
Uberaba,29,2480,455156,4.87,6,9,1.92
Não mapeado,3,48,12982,2.95,0,0,0.77
